Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Matt Judon,2024-12-22,ATL,,NYG,"W, 34-7",1,0,1,27,1,1,1.0,0
Kris Jenkins,2024-12-22,CIN,,CLE,"W, 24-6",2,0,0,0,0,0,2.0,0
Jessie Bates III,2024-12-22,ATL,,NYG,"W, 34-7",1,1,1,55,1,2,0.0,0
Kenny Moore,2024-12-22,IND,,TEN,"W, 38-30",2,1,2,16,0,2,0.0,0
Marlon Humphrey,2024-12-21,BAL,,PIT,"W, 34-17",2,1,1,37,1,1,0.0,0
