Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
2021,25,SFO,NFL,WR,16,15,1,2,50.0,24,1,50.0,0,0.0,1,50.0,24,12.0,22.00,24.0,1.5,133.3,99.0,0,0,0.00,12.00,22.00,0,0,"PB,AP-1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27,SFO,NFL,WR,15,15,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.8,0,0,0.00,0.00,0.00,0,0,
2024,28,SFO,NFL,WR,15,15,0,0,,0,0,,0,,0,,,,,,0.0,,,1,4,100.00,-4.00,-4.00,0,0,
6 Yrs,,81,73,1,3,33.3,24,1,33.3,0,0.0,1,25.0,24,8.0,14.67,24.0,0.3,102.8,,1,4,25.00,5.00,10.00,0,0,,,,
17 Game Avg,,17,15,0,1,33.3,5,0,33.3,0,0.0,0,25.0,,8.0,14.67,24.0,0.3,102.8,,0,1,25.00,5.00,10.00,0,0,,,,
