Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Lamar Jackson,2024-12-15,BAL,@,NYG,"W, 35-14",21,25,290,5,0,154.6
Baker Mayfield,2024-12-15,TAM,@,LAC,"W, 40-17",22,27,288,4,1,135.3
Jalen Hurts,2024-12-15,PHI,,PIT,"W, 27-13",25,32,290,2,0,125.3
Jordan Love,2024-12-15,GNB,@,SEA,"W, 30-13",20,27,229,2,0,123.8
Josh Allen,2024-12-15,BUF,@,DET,"W, 48-42",23,34,362,2,0,122.4
