Player,Date,Tm,,Opp,,Att,Yds,TD
Joe Mixon,2024-09-08,HOU,@,IND,"W, 29-27",30,159,1
Jordan Mason,2024-09-09,SFO,,NYJ,"W, 32-19",28,147,1
J.K. Dobbins,2024-09-08,LAC,,LVR,"W, 22-10",10,135,1
Lamar Jackson,2024-09-05,BAL,@,KAN,"L, 20-27",16,122,0
Rhamondre Stevenson,2024-09-08,NWE,@,CIN,"W, 16-10",25,120,1
