Player,Date,Tm,,Opp,,Att,Yds,TD
Tyrone Tracy Jr.,2024-10-06,NYG,@,SEA,"W, 29-20",18,129,0
Kareem Hunt,2024-10-07,KAN,,NOR,"W, 26-13",27,102,1
Kyren Williams,2024-10-06,LAR,,GNB,"L, 19-24",22,102,1
Tank Bigsby,2024-10-06,JAX,,IND,"W, 37-34",13,101,2
Chuba Hubbard,2024-10-06,CAR,@,CHI,"L, 10-36",13,97,1
