Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Zach Allen,2024-12-28,DEN,@,CIN,"L, 24-30",2,5,0,0,0,0,3.5,0
C.J. Gardner-Johnson,2024-12-29,PHI,,DAL,"W, 41-7",1,0,2,94,1,2,0.0,0
Michael Danna,2024-12-25,KAN,@,PIT,"W, 29-10",3,2,0,0,0,0,2.0,1
Nick Bosa,2024-12-30,SFO,,DET,"L, 34-40",5,3,0,0,0,0,2.0,0
Braden Fiske,2024-12-28,LAR,,ARI,"W, 13-9",2,0,0,0,0,0,2.0,0
