Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
2017,28,KAN,NFL,TE,15,15,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,1.7,0,0,0.00,0.00,-45.00,0,0,"PB,AP-2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,31,KAN,NFL,TE,15,15,1,2,50.0,4,0,0.0,0,0.0,1,50.0,4,2.0,2.00,4.0,0.3,56.2,55.2,0,0,0.00,2.00,2.00,0,0,"PB,AP-1,AP OPoY-4"
12 Yrs,,175,168,1,3,33.3,4,0,0.0,1,33.3,1,33.3,4,1.3,-13.67,4.0,0.0,2.8,,0,0,0.00,1.33,-13.67,0,0,,,,
17 Game Avg,,17,16,0,0,33.3,0,0,0.0,0,33.3,0,33.3,,1.3,-13.67,4.0,0.0,2.8,,0,0,0.00,1.33,-13.67,0,0,,,,
