Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2011,22,CAR,NFL,QB,16,16,115,112,106,105,98,97,92,99,100,"PB,AP ORoY-1"
2012,23,CAR,NFL,QB,16,16,117,113,111,109,89,96,105,96,101,
2013,24,CAR,NFL,QB,16,16,100,92,101,96,100,108,98,85,103,PB
2014,25,CAR,NFL,QB,14,14,95,89,95,91,85,94,98,89,92,
2015,26,CAR,NFL,QB,16,16,113,108,119,115,87,132,107,98,115,"PB,AP-1,AP MVP-1,AP OPoY-1"
2016,27,CAR,NFL,QB,15,14,94,91,92,90,61,92,93,96,81,
2017,28,CAR,NFL,QB,16,16,90,90,88,88,85,101,85,98,88,
2018,29,CAR,NFL,QB,14,14,100,101,99,100,117,107,93,106,105,
2019,30,CAR,NFL,QB,2,2,83,85,83,85,66,53,120,101,72,
2020,31,NWE,NFL,QB,15,15,101,97,91,90,105,76,91,88,88,
2021,32,CAR,NFL,QB,8,5,65,64,63,64,57,87,66,92,63,
11 Yrs,,148,144,101,98,99,97,90,100,95,95,96,,,,
,,,,,,,,,,,,,,,,
CAR (10 Yrs),,133,129,102,98,100,98,88,102,96,96,96,,,,
NWE (1 Yr),,15,15,101,97,91,90,105,76,91,88,88,,,,
