Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Danielle Hunter,2024-10-27,HOU,,IND,"W, 23-20",2,0,0,0,0,0,2.0,0
Azeez Ojulari,2024-10-28,NYG,@,PIT,"L, 18-26",3,4,0,0,0,0,2.0,0
Alex Highsmith,2024-10-28,PIT,,NYG,"W, 26-18",4,0,0,0,0,0,2.0,0
C.J. Brewer,2024-10-27,TAM,,ATL,"L, 26-31",3,0,0,0,0,0,2.0,0
Arden Key,2024-10-27,TEN,@,DET,"L, 14-52",3,3,0,0,0,0,2.0,1
