Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Jared Goff,2024-10-13,DET,@,DAL,"W, 47-9",18,25,315,3,0,153.7
Brock Purdy,2024-10-10,SFO,@,SEA,"W, 36-24",18,28,255,3,0,129.3
Josh Allen,2024-10-14,BUF,@,NYJ,"W, 23-20",19,25,215,2,0,127.9
Jalen Hurts,2024-10-13,PHI,,CLE,"W, 20-16",16,25,264,2,0,126.1
Caleb Williams,2024-10-13,CHI,,JAX,"W, 35-16",23,29,226,4,1,124.4
