Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Trey Hendrickson,2025-01-04,CIN,@,PIT,"W, 19-17",3,2,0,0,0,1,3.5,0
Micah Parsons,2025-01-05,DAL,,WAS,"L, 19-23",3,1,0,0,0,0,2.5,0
Ashtyn Davis,2025-01-05,NYJ,,MIA,"W, 32-20",8,1,2,18,0,2,0.0,0
Nik Bonitto,2025-01-05,DEN,,KAN,"W, 38-0",3,0,0,0,0,0,2.0,0
Nate Wiggins,2025-01-04,BAL,,CLE,"W, 35-10",1,0,1,26,1,1,0.0,0
