Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Drew Lock,2024-12-29,NYG,,IND,"W, 45-33",17,23,309,4,0,155.3
Baker Mayfield,2024-12-29,TAM,,CAR,"W, 48-14",27,32,359,5,0,153.0
Lamar Jackson,2024-12-25,BAL,@,HOU,"W, 31-2",10,15,168,2,0,143.9
Jared Goff,2024-12-30,DET,@,SFO,"W, 40-34",26,34,303,3,0,132.4
Tyrod Taylor,2024-12-29,NYJ,@,BUF,"L, 14-40",11,14,83,2,0,131.0
