Player,Tm,Stats,Boxscore,
Brad Johnson,WAS,"32/47, 471 yards, 2 TD, 1 int","Dec 26, 1999",Top passing games at Candlestick Park
Frank Gore,SFO,"24 rush, 212 yards, 0 TD","Nov 19, 2006",Top rushing games at Candlestick Park
Jerry Rice,SFO,"14 rec, 289 yards, 3 TD","Dec 18, 1995",Top receiving games at Candlestick Park
