Player,Date,Tm,,Opp,,Att,Yds,TD
Jonathan Taylor,2024-12-22,IND,,TEN,"W, 38-30",29,218,3
Derrick Henry,2024-12-21,BAL,,PIT,"W, 34-17",24,162,0
Chuba Hubbard,2024-12-22,CAR,,ARI,"W, 36-30",25,152,2
Saquon Barkley,2024-12-22,PHI,@,WAS,"L, 33-36",29,150,2
Kyren Williams,2024-12-22,LAR,@,NYJ,"W, 19-9",23,122,1
