Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Quarter,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1st Qtr,7443,8.35,5.48,3490,16022,4.6,108,880,2528,3698,68.4,26489,7.2,147,72,255,1295,94.0,6.6,All 2024 plays in 1st Qtr
2nd Qtr,9142,8.53,5.51,3605,15779,4.4,140,941,3359,5165,65,36924,7.1,245,102,371,1743,93.6,6.7,All 2024 plays in 2nd Qtr
3rd Qtr,7644,8.64,5.65,3468,16570,4.8,105,875,2532,3862,65.6,28655,7.4,176,83,314,1340,93.9,6.8,All 2024 plays in 3rd Qtr
4th Qtr,9407,8.52,5.11,4032,16303,4.0,154,964,3148,5008,62.9,34160,6.8,236,129,366,1683,87.9,6.2,All 2024 plays in 4th Qtr
OT,175,8.41,7.01,89,499,5.6,4,22,62,78,79.5,796,10.2,5,1,8,43,125.2,9.9,All 2024 plays in OT
1st Half,16585,8.45,5.49,7095,31801,4.5,248,1821,5887,8863,66.4,63413,7.2,392,174,626,3038,93.8,6.7,All 2024 plays in 1st Half
2nd Half,17051,8.57,5.35,7500,32873,4.4,259,1839,5680,8870,64,62815,7.1,412,212,680,3023,90.5,6.4,All 2024 plays in 2nd Half
