Player,Date,Tm,,Opp,,Att,Yds,TD
Jonathan Taylor,2025-01-05,IND,,JAX,"W, 26-23",34,177,1
Dameon Pierce,2025-01-05,HOU,@,TEN,"W, 23-14",19,176,1
Bijan Robinson,2025-01-05,ATL,,CAR,"L, 38-44",28,170,2
Jahmyr Gibbs,2025-01-05,DET,,MIN,"W, 31-9",23,139,3
Derrick Henry,2025-01-04,BAL,,CLE,"W, 35-10",20,138,2
