Rank,Player,TD,Year,Tm
,Saquon Barkley (27),15,2024,PHI
,Greg Bell (27),15,1989,RAM
,Dwayne Bowe (25),15,2010,KAN
,Cloyce Box (29),15,1952,DET
Rank,Player,TD,Year,Tm
,Antonio Brown (30),15,2018,PIT
,Jim Brown+ (27),15,1963,CLE
,Billy Cannon (24),15,1961,HOU
,Roger Craig (25),15,1985,SFO
,Terrell Davis+ (23),15,1996,DEN
,Terrell Davis+ (24),15,1997,DEN
,Eric Dickerson+ (28),15,1988,IND
,Derrick Fenner (23),15,1990,SEA
,Chuck Foreman (23),15,1974,MIN
,Cleveland Gary (24),15,1990,RAM
,Cookie Gilchrist (27),15,1962,BUF
,Damien Harris (24),15,2021,NWE
,Marvin Harrison+ (29),15,2001,IND
,Marvin Harrison+ (32),15,2004,IND
,Priest Holmes (30),15,2004,KAN
,Paul Hornung+ (24),15,1960,GNB
,Jalen Hurts (25),15,2023,PHI
,Mark Ingram (29),15,2019,BAL
,Brandon Jacobs (26),15,2008,NYG
,Pete Johnson (25),15,1979,CIN
,Thomas Jones (30),15,2008,NYJ
,Mal Kutner (27),15,1948,CRD
,Louis Lipps (23),15,1985,PIT
,Curtis Martin+ (22),15,1995,NWE
,Lydell Mitchell (26),15,1975,BAL
Rank,Player,TD,Year,Tm
,Lenny Moore+ (27),15,1961,BAL
,Joe Morris (25),15,1986,NYG
,Randy Moss+ (23),15,2000,MIN
,Jordy Nelson (26),15,2011,GNB
,Terrell Owens+ (24),15,1998,SFO
,Terrell Owens+ (33),15,2007,DAL
,Sonny Randle (24),15,1960,STL
,Jerry Rice+ (31),15,1994,SFO
,Ray Rice (24),15,2011,BAL
,Andre Rison (26),15,1993,ATL
,Bijan Robinson (22),15,2024,ATL
,Billy Sims (25),15,1981,DET
,David Sims (22),15,1978,SEA
,Emmitt Smith+ (27),15,1996,DAL
,Emmitt Smith+ (29),15,1998,DAL
,Sherman Smith (24),15,1979,SEA
,Charley Taylor+ (24),15,1966,WAS
,Jim Taylor+ (28),15,1964,GNB
,LaDainian Tomlinson+ (23),15,2002,SDG
,LenDale White (23),15,2008,TEN
,Kyren Williams (23),15,2023,LAR
,Ickey Woods (22),15,1988,CIN
198,Davante Adams (29),14,2022,LVR
,Marcus Allen+ (22),14,1982,RAI
,Marcus Allen+ (25),14,1985,RAI
Rank,Player,TD,Year,Tm
,Lance Alworth+ (25),14,1965,SDG
,Ottis Anderson (32),14,1989,NYG
,Doug Baldwin (26),14,2015,SEA
,Alyn Beals (27),14,1948,SFO
,Raymond Berry+ (26),14,1959,BAL
,Emerson Boozer (29),14,1972,NYJ
,James Brooks (29),14,1988,CIN
,Antonio Brown (26),14,2014,PIT
,Bill Brown (30),14,1968,MIN
,Jim Brown+ (23),14,1959,CLE
,Larry Brown (25),14,1973,WAS
,Rick Casares (25),14,1956,CHI
,Jamaal Charles (27),14,2014,KAN
,Frank Clarke (28),14,1962,DAL
,Mark Clayton (27),14,1988,MIA
,Domanick Williams (23),14,2004,HOU
,Eric Dickerson+ (24),14,1984,RAM
,Maurice Jones-Drew (23),14,2008,JAX
,Eric Ebron (25),14,2018,IND
,Ezekiel Elliott (24),14,2019,DAL
,Mike Evans (28),14,2021,TAM
,Marshall Faulk+ (22),14,1995,IND
,Chuck Foreman (25),14,1976,MIN
,Antonio Freeman (26),14,1998,GNB
,Devonta Freeman (23),14,2015,ATL
Rank,Player,TD,Year,Tm
,Eddie George (28),14,2002,TEN
,Cookie Gilchrist (28),14,1963,BUF
,Melvin Gordon (25),14,2018,LAC
,Roy Green (26),14,1983,STL
,Todd Gurley (25),14,2019,LAR
,Rodney Hampton (23),14,1992,NYG
,Franco Harris+ (26),14,1976,PIT
,Marvin Harrison+ (28),14,2000,IND
,Travis Henry (23),14,2002,BUF
,Tyreek Hill (24),14,2018,KAN
,Kareem Hunt (23),14,2018,KAN
,Jalen Hurts (26),14,2024,PHI
,Michael Jackson (27),14,1996,BAL
,Edgerrin James+ (27),14,2005,IND
,Pete Johnson (29),14,1983,CIN
,Ron Johnson (24),14,1972,NYG
,Homer Jones (26),14,1967,NYG
,James Jones (28),14,2012,GNB
,Thomas Jones (31),14,2009,NYJ
,Alvin Kamara (22),14,2017,NOR
,CeeDee Lamb (24),14,2023,DAL
,Jamal Lewis (24),14,2003,BAL
,Marshawn Lynch (27),14,2013,SEA
,Brandon Marshall (31),14,2015,NYJ
,Curtis Martin+ (31),14,2004,NYJ
Rank,Player,TD,Year,Tm
,Tony Martin (31),14,1996,SDG
,Don Maynard+ (30),14,1965,NYJ
,LeSean McCoy (28),14,2016,BUF
,Willis McGahee (27),14,2009,BAL
,Anthony Miller (30),14,1995,DEN
,Wilbert Montgomery (24),14,1979,PHI
,Herman Moore (25),14,1995,DET
,Lenny Moore+ (24),14,1958,BAL
,Jordy Nelson (31),14,2016,GNB
,Cam Newton (22),14,2011,CAR
,Terrell Owens+ (28),14,2002,SFO
,Terrell Owens+ (30),14,2004,PHI
,Clinton Portis (22),14,2003,DEN
,Art Powell (23),14,1960,NYT
,Jerry Rice+ (28),14,1991,SFO
,John Riggins+ (35),14,1984,WAS
,Allen Robinson (22),14,2015,JAX
,Deebo Samuel (25),14,2021,SFO
,Barry Sanders+ (21),14,1989,DET
,Barry Sanders+ (29),14,1997,DET
,Fred Taylor (24),14,2000,JAX
,Adam Thielen (30),14,2020,MIN
,Demaryius Thomas (25),14,2013,DEN
,Steve Van Buren+ (26),14,1947,PHI
,Herschel Walker (24),14,1986,DAL
,Curt Warner (22),14,1983,SEA
,Warren Wells (26),14,1969,OAK
,Brian Westbrook (29),14,2008,PHI
,Sammy Winder (27),14,1986,DEN
