NumYrs,Players whose career was of similar quality and shape
3,"Webster Slaughter, John Brown, Ron Sellers, Carl Pickens, Charles Johnson, Keenan Allen, Roddy White, Eddie Royal, Eric Martin, Nate Burleson"
4,"Sammy Watkins, Christian Kirk, Ron Sellers, Deion Branch, Webster Slaughter, Koren Robinson, Charles Johnson, Freddie Solomon, Peter Warrick, Kevin Johnson"
5,"Alvin Harper, Webster Slaughter, Larry Walton, Bert Emanuel, Freddie Solomon, Hakeem Nicks, Rob Moore, Tyler Lockett, Brian Blades, Michael Crabtree"
6,"Webster Slaughter, Tyler Lockett, Chris Chambers, Hakeem Nicks, Lee Evans, Jarvis Landry, Jack Snow, Bert Emanuel, Brian Blades, Eric Martin"
7,"Eddie Brown, Fred Biletnikoff*, Roy Jefferson, Eric Martin, Art Monk*, DeSean Jackson, Larry Fitzgerald, John Jefferson, Dwight Clark, Al Toon"
8,"Nat Moore, Mark Clayton, Brandin Cooks, Larry Fitzgerald, Fred Biletnikoff*, Drew Pearson*, DeSean Jackson, Andre Reed*, Calvin Johnson*, Greg Jennings"
9,"Andre Johnson*, Roddy White, Andre Reed*, Mark Clayton, Calvin Johnson*, Chad Johnson, James Lofton*, Fred Biletnikoff*, A.J. Green, Keyshawn Johnson"
Career,"Herman Moore, Sterling Sharpe*, Gino Cappelletti, Chad Johnson, Antonio Brown, Demaryius Thomas, Bob Hayes*, Mark Clayton, Wes Welker, Calvin Johnson*"
