Player,Date,Tm,,Opp,,Rec,Yds,TD
Zay Flowers,2024-10-13,BAL,,WAS,"W, 30-23",9,132,0
Chris Godwin,2024-10-13,TAM,@,NOR,"W, 51-27",11,125,2
A.J. Brown,2024-10-13,PHI,,CLE,"W, 20-16",6,116,1
Allen Lazard,2024-10-14,NYJ,,BUF,"L, 20-23",6,114,1
Garrett Wilson,2024-10-14,NYJ,,BUF,"L, 20-23",8,107,1
