Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,TD,1D,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2008,23,NWE,NFL,QB,2,0,3,-6,0,0,0.0,-2,-2.0,-3.0,1.5,0,0,0,0,0,0.0,0.0,3,-2.0,-6,0,0,
1 Yr,,2,0,3,-6,0,0,0.0,-2,-2.0,-3.0,1.5,0,0,0,0,0,0.0,0.0,3,-2.0,-6,0,0,,,,
17 Game Avg,,17,0,26,-51,0,0,0.0,-2,-2.0,-3.0,1.5,0,0,0,0,0,0.0,0.0,26,-17.0,-51,0,0,,,,
