Player,Date,Tm,,Opp,,Att,Yds,TD
Tyrone Tracy Jr.,2024-10-28,NYG,@,PIT,"L, 18-26",20,145,1
D'Andre Swift,2024-10-27,CHI,@,WAS,"L, 15-18",18,129,1
Jahmyr Gibbs,2024-10-27,DET,,TEN,"W, 52-14",11,127,1
Josh Jacobs,2024-10-27,GNB,@,JAX,"W, 30-27",25,127,2
Najee Harris,2024-10-28,PIT,,NYG,"W, 26-18",19,114,0
