Rank,Player,Rec,Years,Tm
138,Marvin Jones,547,2012-2023,3TM
,Jeremy Shockey,547,2002-2011,3TM
,Ben Watson,547,2004-2019,4TM
141,Ike Hilliard,546,1997-2008,2TM
,John Williams,546,1986-1995,2TM
143,J.T. Smith,544,1978-1990,3TM
144,Lance Alworth+,542,1962-1972,2TM
,Jeff Graham,542,1991-2001,5TM
146,Eric Metcalf,541,1989-2002,7TM
,Kellen Winslow+,541,1979-1987,sdg
148,Chris Chambers,540,2001-2010,3TM
,Vincent Jackson,540,2005-2016,2TM
,Carl Pickens,540,1992-2000,2TM
Rank,Player,Rec,Years,Tm
151,Marty Booker,539,1999-2009,3TM
152,George Kittle,538,2017-2024,sfo
,Mike Wallace,538,2009-2018,5TM
154,Dwayne Bowe,537,2007-2015,2TM
,Dez Bryant,537,2010-2020,2TM
,John Stallworth+,537,1974-1987,pit
157,Haywood Jeffires,535,1987-1996,2TM
158,Brett Perriman,525,1988-1997,4TM
159,Jerricho Cotchery,524,2004-2015,3TM
,Christian McCaffrey,524,2017-2024,2TM
161,Bobby Mitchell+,521,1958-1968,2TM
162,Deion Branch,518,2002-2012,2TM
,LeSean McCoy,518,2009-2020,4TM
164,Al Toon,517,1985-1992,nyj
165,Emmitt Smith+,515,1990-2004,2TM
166,Jeremy Maclin,514,2009-2017,3TM
167,Earnest Byner,512,1984-1997,3TM
,Herschel Walker,512,1986-1997,4TM
169,Mark Duper,511,1982-1992,mia
170,Warrick Dunn,510,1997-2008,2TM
,Nat Moore,510,1974-1986,mia
172,Frank Sanders,507,1995-2003,2TM
173,Dwight Clark,506,1979-1987,sfo
174,Dallas Clark,505,2003-2013,3TM
,Frank Wycheck,505,1993-2003,2TM
Rank,Player,Rec,Years,Tm
176,Delanie Walker,504,2006-2019,2TM
177,Billy Howton,503,1952-1963,3TM
178,Cliff Branch+,501,1972-1985,rai
179,Ben Coates,499,1991-2000,2TM
,Todd Heap,499,2001-2012,2TM
,Darrell Jackson,499,2000-2008,3TM
182,Steve Jordan,498,1982-1994,min
183,Evan Engram,496,2017-2024,2TM
,CeeDee Lamb,496,2020-2024,dal
185,Justin Jefferson,495,2020-2024,min
,Tommy McDonald+,495,1957-1968,5TM
,Ahmad Rashad,495,1972-1982,3TM
188,Doug Baldwin,493,2011-2018,sea
189,Walter Payton+,492,1975-1987,chi
190,Tony Galbreath,490,1976-1987,3TM
191,Drew Pearson+,489,1973-1983,dal
192,Don Hutson+,488,1935-1945,gnb
193,Anthony Carter,486,1985-1995,2TM
194,Frank Gore,484,2005-2020,5TM
,Curtis Martin+,484,1995-2005,2TM
196,Ricky Sanders,483,1986-1995,2TM
197,Kyle Rudolph,482,2011-2022,3TM
198,Jackie Smith+,480,1963-1978,2TM
199,Owen Daniels,479,2006-2015,3TM
,Tony Hill,479,1977-1986,dal
Rank,Player,Rec,Years,Tm
,Art Powell,479,1959-1968,5TM
202,Reggie Bush,477,2006-2016,5TM
,Antonio Freeman,477,1995-2003,2TM
204,Austin Ekeler,475,2017-2024,2TM
,Alshon Jeffery,475,2012-2020,2TM
206,Boyd Dowler,474,1959-1971,2TM
207,Thurman Thomas+,472,1988-2000,2TM
208,Shawn Jefferson,470,1991-2003,4TM
209,Kellen Winslow,469,2004-2013,4TM
210,Pat Tilley,468,1976-1986,crd
211,Ricky Watters,467,1992-2001,3TM
212,Mickey Shuler,462,1978-1991,2TM
213,Todd Christensen,461,1979-1988,2TM
,Steven Jackson,461,2004-2015,3TM
215,Quinn Early,460,1988-1999,4TM
,Terry McLaurin,460,2019-2024,was
217,Nate Washington,458,2005-2015,3TM
218,Nate Burleson,457,2003-2013,3TM
219,Pete Retzlaff,452,1956-1966,phi
220,Roy Jefferson,451,1965-1976,3TM
221,Jake Reed,450,1991-2002,2TM
,Wesley Walls,450,1989-2003,4TM
223,Haven Moses,448,1968-1981,2TM
,JuJu Smith-Schuster,448,2017-2024,3TM
225,Jabar Gaffney,447,2002-2012,5TM
Rank,Player,Rec,Years,Tm
,Reggie Rucker,447,1970-1981,4TM
227,A.J. Brown,446,2019-2024,2TM
228,Sean Dawkins,445,1993-2001,4TM
229,Brian Westbrook,442,2002-2010,2TM
230,Keith Jackson,441,1988-1996,3TM
231,Jamison Crowder,440,2015-2024,3TM
232,Eric Decker,439,2010-2017,3TM
233,Carroll Dale,438,1960-1973,3TM
