Rank,Player,Rec,Tm,Boxscore
,Keenan Allen,14,SDG,"San Diego Chargers vs. Green Bay Packers, October 18, 2015"
,Josh Gordon,14,CLE,"Cleveland Browns vs. Pittsburgh Steelers, November 24, 2013"
,Calvin Johnson+,14,DET,"Detroit Lions vs. Dallas Cowboys, October 27, 2013"
,Justin Blackmon,14,JAX,"Jacksonville Jaguars vs. Denver Broncos, October 13, 2013"
,Brandon Myers,14,OAK,"Oakland Raiders vs. Cleveland Browns, December 2, 2012"
,Andre Johnson+,14,HOU,"Houston Texans vs. Jacksonville Jaguars, November 18, 2012"
,Roy Helu,14,WAS,"Washington Redskins vs. San Francisco 49ers, November 6, 2011"
,Reggie Wayne,14,IND,"Indianapolis Colts vs. Dallas Cowboys, December 5, 2010"
,Jabar Gaffney,14,DEN,"Denver Broncos vs. Kansas City Chiefs, January 3, 2010"
,Jason Witten,14,DAL,"Dallas Cowboys vs. New York Giants, December 6, 2009"
,Dallas Clark,14,IND,"Indianapolis Colts vs. Houston Texans, November 8, 2009"
,Brian Westbrook,14,PHI,"Philadelphia Eagles vs. Dallas Cowboys, November 4, 2007"
,Bobby Engram,14,SEA,"Seattle Seahawks vs. Cleveland Browns, November 4, 2007"
,Anquan Boldin,14,ARI,"Arizona Cardinals vs. Baltimore Ravens, September 23, 2007"
,Steve Smith Sr.,14,CAR,"Carolina Panthers vs. Chicago Bears, November 20, 2005"
,Tony Gonzalez+,14,KAN,"Kansas City Chiefs vs. San Diego Chargers, January 2, 2005"
,David Boston,14,SDG,"San Diego Chargers vs. Jacksonville Jaguars, October 5, 2003"
Rank,Player,Rec,Tm,Boxscore
,Marvin Harrison+,14,IND,"Indianapolis Colts vs. Dallas Cowboys, November 17, 2002"
,Marshall Faulk+,14,STL,"St. Louis Rams vs. Denver Broncos, September 8, 2002"
,Rod Smith,14,DEN,"Denver Broncos vs. Arizona Cardinals, September 23, 2001"
,Jimmy Smith,14,JAX,"Jacksonville Jaguars vs. Cincinnati Bengals, January 2, 2000"
,Marvin Harrison+,14,IND,"Indianapolis Colts vs. Cleveland Browns, December 26, 1999"
,Courtney Hawkins,14,PIT,"Pittsburgh Steelers vs. Tennessee Oilers, November 1, 1998"
,Tim Brown+,14,OAK,"Oakland Raiders vs. Jacksonville Jaguars, December 21, 1997"
,Jerry Rice+,14,SFO,"San Francisco 49ers vs. Minnesota Vikings, December 18, 1995"
,Herman Moore,14,DET,"Detroit Lions vs. Chicago Bears, December 4, 1995"
,Cris Carter+,14,MIN,"Minnesota Vikings vs. Arizona Cardinals, October 2, 1994"
,Andre Rison,14,ATL,"Atlanta Falcons vs. Detroit Lions, September 4, 1994"
,Al Toon,14,NYJ,"New York Jets vs. Miami Dolphins, November 27, 1988"
,Ozzie Newsome+,14,CLE,"Cleveland Browns vs. New York Jets, October 14, 1984"
,Kellen Winslow+,14,SDG,"San Diego Chargers vs. Kansas City Chiefs, December 11, 1983"
,Tony Galbreath,14,NOR,"New Orleans Saints vs. Green Bay Packers, September 10, 1978"
,Ralph Heywood,14,NYB,"New York Bulldogs vs. Detroit Lions, December 4, 1949"
,Jim Keane,14,CHI,"Chicago Bears vs. New York Giants, October 23, 1949"
,Don Hutson+,14,GNB,"Green Bay Packers vs. New York Giants, November 22, 1942"
,Don Looney,14,PHI,"Philadelphia Eagles vs. Washington Redskins, December 1, 1940"
