Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2018,21,13,QB,168,,27,,All 2018 Games
2019,22,13,QB,189,,27,,All 2019 Games
2020,23,12,QB,134,,32,,All 2020 Games
2021,24,12,QB,157,,28,,All 2021 Games
2022,25,6,QB,86,,35,,All 2022 Games
2023,26,10,QB,23,,54,,All 2023 Games
2024,27,17,QB,308,24,9,47,All 2024 Games
,,,,1065,,,,Career Summary
