Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2020,31,KAN,NFL,TE,15,15,1,2,-2,-1.0,-3,-3.0,-1.5,7,7.0,0,0,0,0,0.0,0,0.0,2,100.0,3.2,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,"PB,AP-1,AP OPoY-4"
7 Yrs,,111,111,1,2,-2,-1.0,-3,-3.0,-1.5,7,7.0,0,0,0,0,0.0,0,0.0,2,100.0,3.2,0,0,0,0,0.0,0,4,7,1,0,3,7,0,0,,,,
17 Game Avg,,17,17,0,0,0,-1.0,0,-3.0,-1.5,1,7.0,0,0,0,0,0.0,0,0.0,,,,0,0,0,0,0.0,0,,,,,,,,,,,,
