Name,Role
Rick Forzano,Asst. Special Teams
Tommy Hudspeth,"Asst. Special Teams, Receivers"
Ted Marchibroda,Special Assistant
Red Miller,Defensive Assistant/Asst. Special Teams
Bill Parcells,"Asst. Head Coach/Defensive Backs, Asst. Head Coach/Defensive Coordinator, Defensive Coordinator, Linebackers/Special Teams"
Ray Perkins,"Defensive Assistant/Special Teams, Linebackers/Special Teams"
