Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Jalen Hurts,2025-02-09,PHI,,KAN,"W, 40-22",17,22,221,2,1,119.7
Patrick Mahomes,2025-02-09,KAN,@,PHI,"L, 22-40",21,32,257,3,2,95.4
