Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Lamar Jackson,2024-11-07,BAL,,CIN,"W, 35-34",25,33,290,4,0,141.4
Will Levis,2024-11-10,TEN,@,LAC,"L, 17-27",18,23,175,2,0,127.4
Derek Carr,2024-11-10,NOR,,ATL,"W, 20-17",16,25,269,2,0,126.9
Kyler Murray,2024-11-10,ARI,,NYJ,"W, 31-6",22,24,266,1,0,126.7
Justin Herbert,2024-11-10,LAC,,TEN,"W, 27-17",14,18,164,1,0,123.1
