Player,Date,Tm,,Opp,,Att,Yds,TD
Saquon Barkley,2025-01-26,PHI,,WAS,"W, 55-23",15,118,3
James Cook,2025-01-26,BUF,@,KAN,"L, 29-32",13,85,2
Will Shipley,2025-01-26,PHI,,WAS,"W, 55-23",4,77,1
Kareem Hunt,2025-01-26,KAN,,BUF,"W, 32-29",17,64,1
Jayden Daniels,2025-01-26,WAS,@,PHI,"L, 23-55",6,48,1
