Player,Date,Tm,,Opp,,Rec,Yds,TD
CeeDee Lamb,2024-10-27,DAL,@,SFO,"L, 24-30",13,146,2
Calvin Ridley,2024-10-27,TEN,@,DET,"L, 14-52",10,143,0
George Kittle,2024-10-27,SFO,,DAL,"W, 30-24",6,128,1
Terry McLaurin,2024-10-27,WAS,,CHI,"W, 18-15",5,125,0
Trey McBride,2024-10-27,ARI,@,MIA,"W, 28-27",9,124,0
