Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,TD,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1985,22,BUF,NFL,RDE,16,13,1,0,0,0.0,0.0,0.1,0,0,0,0.0,0.0,1,0.0,0,0,0,
19 Yrs,,279,267,1,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0,0,,,,
17 Game Avg,,17,16,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BUF (15 Yrs),,217,213,1,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0,0,,,,
WAS (4 Yrs),,62,54,0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,,0,0,0,,,,
