Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,Punt Returns,Kick Returns,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Ret,Yds,PRTD,Lng,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1985,23,SFO,NFL,WR,16,4,0,0,0,0,1,6,0,6,6.0,959,
20 Yrs,,303,284,0,0,0,0,1,6,0,6,6.0,23546,,,,
17 Game Avg,,17,16,0,0,0,0,0,0,0,0,6.0,1321,,,,
,,,,,,,,,,,,,,,,,
SFO (16 Yrs),,238,224,0,0,0,0,1,6,0,6,6.0,19878,,,,
OAK (4 Yrs),,54,51,0,0,0,0,0,0,0,0,,3306,,,,
SEA (1 Yr),,11,9,0,0,0,0,0,0,0,0,,362,,,,
