Player,Date,Tm,,Opp,,Rec,Yds,TD
Jerry Jeudy,2024-12-02,CLE,@,DEN,"L, 32-41",9,235,1
Brock Bowers,2024-11-29,LVR,@,KAN,"L, 17-19",10,140,1
Nico Collins,2024-12-01,HOU,@,JAX,"W, 23-20",8,119,0
Mike Evans,2024-12-01,TAM,@,CAR,"W, 26-23",8,118,1
Ladd McConkey,2024-12-01,LAC,@,ATL,"W, 17-13",9,117,0
