Name,Role
George Allen,"Defensive Assistant, Defensive Coordinator"
Hunk Anderson,Line Coach
Jim Dooley,"Defensive Assistant, Defensive Coordinator, Receivers"
Paddy Driscoll,Assistant Coach
Abe Gibron,Offensive Line
Phil Handler,"Defensive Line, Line Coach, Offensive Line"
Luke Johnsos,Assistant Coach
Gene Ronzani,Quarterbacks
Clark Shaughnessy,"Defensive Assistant, Defensive Coordinator"
Joe Stydahar,Defensive Line
Bulldog Turner,Assistant
George Wilson,"Assistant Coach, Ends Coach"
