Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Baker Mayfield,2025-01-12,TAM,,WAS,"L, 20-23",15,18,185,2,0,146.5
Josh Allen,2025-01-12,BUF,,DEN,"W, 31-7",20,26,272,2,0,135.4
Lamar Jackson,2025-01-11,BAL,,PIT,"W, 28-14",16,21,175,2,0,132.0
Russell Wilson,2025-01-11,PIT,@,BAL,"L, 14-28",20,29,270,2,0,121.3
Matthew Stafford,2025-01-13,LAR,,MIN,"W, 27-9",19,27,209,2,0,117.7
