Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Baker Mayfield,2024-10-03,TAM,@,ATL,"L, 30-36",19,24,180,3,0,137.5
Joe Burrow,2024-10-06,CIN,,BAL,"L, 38-41",30,39,392,5,1,137.0
Caleb Williams,2024-10-06,CHI,,CAR,"W, 36-10",20,29,304,2,0,126.2
Joe Flacco,2024-10-06,IND,@,JAX,"L, 34-37",33,44,359,3,0,121.3
Lamar Jackson,2024-10-06,BAL,@,CIN,"W, 41-38",26,42,348,4,0,119.9
