Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,TD,1D,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2024,24,WAS,NFL,QB,17,17,148,891,6,55,62.8,46,6.0,52.4,8.7,0,0,0,0,0,0.0,0.0,148,6.0,891,6,5,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
1 Yr,,17,17,148,891,6,55,62.8,46,6.0,52.4,8.7,0,0,0,0,0,0.0,0.0,148,6.0,891,6,5,,,,
17 Game Avg,,17,17,148,891,6,55,62.8,46,6.0,52.4,8.7,0,0,0,0,0,0.0,0.0,148,6.0,891,6,5,,,,
