Player,Date,Tm,,Opp,,Rec,Yds,TD
Ladd McConkey,2025-01-11,LAC,@,HOU,"L, 12-32",9,197,1
Nico Collins,2025-01-11,HOU,,LAC,"W, 32-12",7,122,1
Mike Evans,2025-01-12,TAM,,WAS,"L, 20-23",7,92,1
Terry McLaurin,2025-01-12,WAS,@,TAM,"W, 23-20",7,89,1
Dyami Brown,2025-01-12,WAS,@,TAM,"W, 23-20",5,89,1
