Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
,,,Tot Yds & TO,,,Passing,Rushing,Penalties,,Average Drive,,,,,,,,,,,,,,,,,,,,
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,380,5430,1081,5.0,17,11,318,321,499,3264,21,6,6.0,158,533,2166,14,4.1,122,102,823,38,187,39.6,8.6,Own 31.6,2:46,5.94,28.4,1.91
Opp. Stats,347,5554,1034,5.4,33,16,324,382,582,3876,23,17,6.2,193,412,1678,14,4.1,108,125,1039,23,182,34.6,15.9,Own 30.0,2:44,5.9,30.5,1.85
Lg Rank Offense,16,23,,,10,24,18,,29,27,20,3,19,,4,11,19,25,,,,,,15,23,7,20,19,24,20
Lg Rank Defense,8,12,,,1,1,9,,26,25,9,3,18,,6,6,15,5,,,,,,25,4,18,10,11,15,7
