Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1-3,4671,1.90,4.00,2736,9110,3.3,297,1753,1124,1792,62.7,10508,5.9,201,37,143,1032,107.6,6.6,All 2024 plays with 1-3 yds to go
4-6,4792,5.04,5.24,1759,7933,4.5,94,610,1725,2803,61.5,18723,6.7,212,53,230,1338,98.5,6.8,All 2024 plays with 4-6 yds to go
7-9,4445,7.93,5.53,1360,6698,4.9,39,313,1780,2814,63.3,19666,7.0,147,62,271,1012,92.1,6.4,All 2024 plays with 7-9 yds to go
10+,19903,11.03,5.79,8829,41432,4.7,81,1006,7000,10402,67.3,78127,7.5,249,235,670,2722,88.0,6.6,All 2024 plays with 10+ yds to go
