Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Taron Johnson,2024-11-10,BUF,@,IND,"W, 30-20",3,0,1,23,1,2,1.0,0
Nnamdi Madubuike,2024-11-07,BAL,,CIN,"W, 35-34",3,2,0,0,0,0,3.0,1
Bud Dupree,2024-11-10,LAC,,TEN,"W, 27-17",4,1,0,0,0,0,2.0,1
Cameron Heyward,2024-11-10,PIT,@,WAS,"W, 28-27",2,0,0,0,0,1,2.0,0
Anfernee Jennings,2024-11-10,NWE,@,CHI,"W, 19-3",4,0,0,0,0,0,2.0,0
