Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,TD,1D,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2022,23,SFO,NFL,QB,9,5,22,13,1,5,27.3,13,0.6,1.4,2.4,0,0,0,0,0,0.0,0.0,22,0.6,13,1,0,AP ORoY-3
2023,24,SFO,NFL,QB,16,16,39,144,2,15,53.8,17,3.7,9.0,2.4,0,0,0,0,0,0.0,0.0,39,3.7,144,2,6,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6"
2024,25,SFO,NFL,QB,15,15,66,323,5,33,63.6,16,4.9,21.5,4.4,0,0,0,0,0,0.0,0.0,66,4.9,323,5,7,
3 Yrs,,40,36,127,480,8,53,54.3,17,3.8,12.0,3.2,0,0,0,0,0,0.0,0.0,127,3.8,480,8,13,,,,
17 Game Avg,,17,15,54,204,3,23,54.3,17,3.8,12.0,3.2,0,0,0,0,0,0.0,0.0,54,1.6,204,3,6,,,,
