Date,Down,ToGo,Location,,Detail
2023-12-24,1,10,1-10 DEN 41,U,"Russell Wilson pass complete deep right to Marvin Mims for 47 yards (tackle by Ja'Whaun Bentley) NWE challenged the pass completion ruling, and the play was upheld."
,,,,,"NWE challenged the pass completion ruling, and the play was upheld."
2023-09-17,3,2,3-2 MIA 25,U,"Rhamondre Stevenson for 1 yard (tackle by Bradley Chubb) NWE challenged the short of the line to gain ruling, and the play was upheld."
,,,,,"NWE challenged the short of the line to gain ruling, and the play was upheld."
2023-09-10,1,10,1-10 PHI 17,O,"Jalen Hurts pass complete to A.J. Brown for 48 yards NWE challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Jonathan Jones)"
,,,,,"NWE challenged the pass completion ruling, and the play was overturned."
2023 Challenges: 3 Overturned: 1 Upheld: 2,,,,,
