Player,Date,Tm,,Opp,,Rec,Yds,TD
Keon Coleman,2024-10-20,BUF,,TEN,"W, 34-10",4,125,0
Rashod Bateman,2024-10-21,BAL,@,TAM,"W, 41-31",4,121,1
Amon-Ra St. Brown,2024-10-20,DET,@,MIN,"W, 31-29",8,112,1
George Pickens,2024-10-20,PIT,,NYJ,"W, 37-15",5,111,1
Breece Hall,2024-10-20,NYJ,@,PIT,"L, 15-37",6,103,0
