Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2020,21,CIN,NFL,WR,16,14,0,6,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.3,
2021,22,CIN,NFL,WR,14,14,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0,38,2.7,
2022,23,CIN,NFL,WR,16,14,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,44,2.8,
2023,24,CIN,NFL,WR,12,11,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.5,
2024,25,CIN,NFL,WR,12,9,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,60,5.0,
5 Yrs,,70,62,0,34,0,0,0,0,0,34,2,0,0,0,0,0,0,208,3.0,,,,
17 Game Avg,,17,15,0,8,0,0,0,0,0,8,0,,0,0,0,0,0,51,3.0,,,,
