Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Aidan Hutchinson,2024-09-15,DET,,TAM,"L, 16-20",4,1,0,0,0,0,4.5,1
Will McDonald,2024-09-15,NYJ,@,TEN,"W, 24-17",4,0,0,0,0,0,3.0,1
Dennis Gardeck,2024-09-15,ARI,,LAR,"W, 41-10",6,0,0,0,0,0,3.0,1
Ja'Marcus Ingram,2024-09-12,BUF,@,MIA,"W, 31-10",0,0,2,56,1,2,0.0,0
Odafe Oweh,2024-09-15,BAL,,LVR,"L, 23-26",4,1,0,0,0,0,2.5,1
