Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2018,21,16,QB,158,,29,,All 2018 Games
2019,22,15,QB,416,152,1,2,All 2019 Games
2020,23,15,QB,333,50,10,31,All 2020 Games
2021,24,12,QB,240,,16,,All 2021 Games
2022,25,12,QB,236,,14,75,All 2022 Games
2023,26,16,QB,331,65,4,10,All 2023 Games
2024,27,17,QB,430,140,1,4,All 2024 Games
,,,,2144,,,,Career Summary
