NumYrs,Players whose career was of similar quality and shape
3,"Kurt Warner*, Jared Goff, Daunte Culpepper, Donovan McNabb, Jeff Garcia, Boomer Esiason, Dan Marino*, Aaron Brooks, Peyton Manning*, Jay Cutler"
4,"Kurt Warner*, Daunte Culpepper, Jeff Garcia, Bert Jones, Dan Marino*, Jared Goff, Josh Allen, Andrew Luck, Cam Newton, Brett Favre*"
5,"Daunte Culpepper, Cam Newton, Jeff Garcia, Brett Favre*, Bert Jones, Boomer Esiason, Russell Wilson, Dan Marino*, Andrew Luck, Peyton Manning*"
6,"Daunte Culpepper, Brett Favre*, Cam Newton, Russell Wilson, Peyton Manning*, Dan Marino*, Boomer Esiason, Jeff Garcia, Randall Cunningham, Donovan McNabb"
Career,"Daunte Culpepper, Andrew Luck, Dak Prescott, Jared Goff, Bert Jones, Randall Cunningham, Aaron Brooks, Trent Green, Danny White, Kurt Warner*"
