Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Andrew Wylie,OL,WAS,14,14,2,1,3,1
Chandler Zavala,G,CAR,17,2,0,2,3,0
Alec Anderson,T,BUF,17,4,1,1,2,0
Spencer Anderson,OL,PIT,17,4,0,1,2,0
Kayode Awosika,G,DET,11,2,1,1,2,1
Mekhi Becton,T,PHI,15,15,1,1,2,0
Ben Bredeson,G,TAM,17,17,2,0,2,0
Aaron Brewer,OL,MIA,17,17,2,0,2,0
Ben Brown,C,NWE,10,10,2,0,2,0
Devin Cochran,OT,CIN,9,1,0,2,2,0
Landon Dickerson,G,PHI,16,16,1,1,2,1
Michael Dunn,G,CLE,13,3,1,0,2,0
Chuma Edoga,,DAL,5,4,0,0,2,0
David Edwards,G,BUF,16,16,1,1,2,0
Stone Forsythe,T,SEA,9,5,0,2,2,1
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Anton Harrison,OL,JAX,16,16,1,1,2,0
Christian Haynes,OG,SEA,16,0,1,1,2,0
Will Hernandez,OL,ARI,5,5,2,0,2,0
Tytus Howard,T,HOU,16,16,0,1,2,0
James Hudson,T,CLE,4,3,1,0,2,0
Robert Hunt,G,CAR,16,16,0,2,2,1
Ed Ingram,G,MIN,16,9,1,0,2,0
Andre James,C,LVR,13,11,1,0,2,0
Robert Jones,OL,MIA,17,17,2,0,2,0
Michael Jordan,G,NWE,12,11,1,1,2,0
Nick Leverett,,NWE,5,1,1,1,2,0
Jordan Mailata,T,PHI,12,12,0,2,2,0
Cody Mauch,G,TAM,17,17,1,1,2,0
Warren McClendon,OL,LAR,13,5,0,2,2,0
Erik McCoy,C,NOR,7,7,0,1,2,0
Mason McCormick,G,PIT,17,14,1,1,2,0
Ryan McCollum,C,PIT,17,2,1,1,2,0
Connor McGovern,,NOR,6,5,0,0,2,0
Quinn Meinerz,OL,DEN,17,17,1,1,2,1
Sam Mustipher,C,LAC,12,1,0,1,2,1
Josh Myers,OL,GNB,16,16,0,0,2,0
Michael Onwenu,OL,NWE,17,17,0,1,2,0
Patrick Paul,OT,MIA,17,3,0,1,2,3
Dillon Radunz,OL,TEN,15,15,1,1,2,0
Jamaree Salyer,OL,LAC,17,4,1,1,2,0
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Coleman Shelton,OL,CHI,17,17,2,0,2,0
Rashawn Slater,T,LAC,15,15,2,0,2,0
Trey Smith,G,KAN,17,17,2,0,2,0
Tyler Smith,OL,DAL,16,16,1,1,2,3
Andrew Thomas,T,NYG,6,6,0,1,2,2
Zak Zinter,G,CLE,17,3,0,2,2,0
AJ Arcuri,,LAR,2,0,1,0,1,1
Terron Armstead,T,MIA,15,15,1,0,1,0
Steve Avila,OL,LAR,10,10,1,0,1,0
T.J. Bass,G,DAL,15,3,0,1,1,0
Tyler Biadasz,C,WAS,15,15,0,1,1,0
Larry Borom,OL,CHI,8,4,0,1,1,0
Evan Brown,OL,ARI,17,17,1,0,1,0
Trent Brown,OT,CIN,3,3,0,1,1,0
Daniel Brunskill,OL,TEN,17,10,1,0,1,0
Ezra Cleveland,OL,JAX,15,15,0,1,1,0
Jack Conklin,T,CLE,12,12,0,1,1,0
Austin Corbett,C,CAR,5,5,1,0,1,0
Nate Davis,,CHI,5,2,0,1,1,0
Taylor Decker,T,DET,14,14,0,1,1,2
Justin Dedich,OL,LAR,13,3,1,0,1,0
Kevin Dotson,OL,LAR,16,16,0,1,1,0
Zach Frazier,C,PIT,15,15,1,0,1,0
Will Fries,G,IND,5,5,0,1,1,0
Nick Gates,OL,PHI,9,1,1,0,1,0
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Mark Glowinski,,IND,5,5,0,1,1,2
Matt Goncalves,T,IND,17,8,0,0,1,0
Tylan Grable,OT,BUF,4,1,1,0,1,0
Nick Harris,C,CLE,5,2,1,0,1,0
Kyle Hergel,,NOR,8,0,0,0,1,0
Kyle Hinton,OL,ATL,17,0,0,1,1,0
Brock Hoffman,C,DAL,17,7,0,0,1,0
Chris Hubbard,OT,NYG,8,3,0,0,1,1
Creed Humphrey,C,KAN,17,17,1,0,1,0
