Player,Tm,Stats,Boxscore,
Drew Brees,NOR,"37/52, 510 yards, 2 TD, 3 int","Nov 19, 2006",Top passing games at Caesars Superdome
Mike Anderson,DEN,"37 rush, 251 yards, 4 TD","Dec 3, 2000",Top rushing games at Caesars Superdome
Flipper Anderson,RAM,"15 rec, 336 yards, 1 TD","Nov 26, 1989",Top receiving games at Caesars Superdome
