Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Will Anderson,2024-10-13,HOU,@,NWE,"W, 41-21",6,2,0,0,0,1,3.0,0
Brian Branch,2024-10-13,DET,@,DAL,"W, 47-9",5,1,2,47,0,2,0.0,1
Trey Hendrickson,2024-10-13,CIN,@,NYG,"W, 17-7",2,0,0,0,0,0,2.0,0
A.J. Epenesa,2024-10-14,BUF,@,NYJ,"W, 23-20",3,1,0,0,0,0,2.0,1
Dante Fowler,2024-10-13,WAS,@,BAL,"L, 23-30",4,0,0,0,0,0,2.0,0
