Year,Tm,Level,Pos,Voters
2014,1st Tm,,WR,Pro Football Focus
2015,1st Tm,All-Conf.,WR,Pro Football Writers
2015,2nd Tm,,WR,Associated Press
2016,1st Tm,All-Conf.,WR,Pro Football Writers
2016,2nd Tm,,WR,Associated Press
2016,2nd Tm,,WR,Pro Football Focus
