Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2019,22,14,WR,122,,33,,All 2019 Games
2020,23,16,WR,91,,56,,All 2020 Games
2021,24,13,WR,43,,104,,All 2021 Games
2022,25,16,WR,82,,51,,All 2022 Games
2023,26,17,WR,101,,44,,All 2023 Games
2024,27,16,WR,71,,74,,All 2024 Games
,,,,510,,,,Career Summary
