Player,Date,Tm,,Opp,,Rec,Yds,TD
Jayden Reed,2024-09-06,GNB,@,PHI,"L, 29-34",4,138,1
Tyreek Hill,2024-09-08,MIA,,JAX,"W, 20-17",7,130,1
Alec Pierce,2024-09-08,IND,,HOU,"L, 27-29",3,125,1
Jameson Williams,2024-09-08,DET,,LAR,"W, 26-20",5,121,1
A.J. Brown,2024-09-06,PHI,,GNB,"W, 34-29",5,119,1
