Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Dante Fowler,2024-10-20,WAS,,CAR,"W, 40-7",2,0,1,67,1,1,1.0,0
Jalen Carter,2024-10-20,PHI,@,NYG,"W, 28-3",3,1,0,0,0,0,2.0,0
Cobie Durant,2024-10-20,LAR,,LVR,"W, 20-15",2,0,1,0,0,2,1.0,1
Nakobe Dean,2024-10-20,PHI,@,NYG,"W, 28-3",6,5,0,0,0,0,2.0,0
Beanie Bishop,2024-10-20,PIT,,NYJ,"W, 37-15",5,1,2,41,0,2,0.0,0
