Name,Role
Neill Armstrong,Quality Control
Raymond Berry,Receivers
Mike Ditka,Special Teams/Receivers
Sid Gillman,Quality Control
Red Hickey,Passing Game Assistant
Ed Hughes,"Offensive Backfield, Running Backs"
John Mackovic,Quarterbacks
Ron Meyer,Scout
Dick Nolan,"Defensive Backs, Defensive Coordinator, Receivers"
Dan Reeves,"Offensive Backfield, Offensive Coordinator"
Jim Shofner,Quarterbacks
Gene Stallings,Defensive Backs
