Date,Down,ToGo,Location,,Detail
2024-12-08,4,3,4-3 CLE 28,O,"Jameis Winston pass complete short middle to David Njoku for 13 yards (tackle by Payton Wilson) PIT challenged the runner was down by contact ruling, and the original play was overturned. Jameis Winston pass complete short middle to David Njoku for 3 yards (tackle by Beanie Bishop)"
,,,,,"PIT challenged the runner was down by contact ruling, and the play was overturned."
2024-10-20,3,4,3-4 NYJ 22,U,"Jaylen Warren left guard for 3 yards (tackle by Jamien Sherwood and Leonard Taylor) PIT challenged the short of the line to gain ruling, and the play was upheld."
,,,,,"PIT challenged the short of the line to gain ruling, and the play was upheld."
2024-09-29,3,6,3-6 PIT 35,U,"Joe Flacco pass complete short middle to Josh Downs for 6 yards (tackle by Joey Porter) PIT challenged the pass completion ruling, and the play was upheld."
,,,,,"PIT challenged the pass completion ruling, and the play was upheld."
2024 Challenges: 3 Overturned: 1 Upheld: 2,,,,,
