Player,Date,Tm,,Opp,,Att,Yds,TD
Saquon Barkley,2024-11-14,PHI,,WAS,"W, 26-18",26,146,2
Taysom Hill,2024-11-17,NOR,,CLE,"W, 35-14",7,138,3
Joe Mixon,2024-11-18,HOU,@,DAL,"W, 34-10",20,109,3
Chase Brown,2024-11-17,CIN,@,LAC,"L, 27-34",22,86,0
Kyren Williams,2024-11-17,LAR,@,NWE,"W, 28-22",15,86,0
