Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,Punt Returns,Kick Returns,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Ret,Yds,PRTD,Lng,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
2021,25,SFO,NFL,WR,16,15,0,0,0,0,3,75,0,33,25.0,1845,"PB,AP-1"
,,,,,,,,,,,,,,,,,
2023,27,SFO,NFL,WR,15,15,0,0,0,0,6,154,0,34,25.7,1271,
2024,28,SFO,NFL,WR,15,15,0,0,0,0,17,533,0,60,31.4,1339,
6 Yrs,,81,73,0,0,0,0,26,762,0,60,29.3,6697,,,,
17 Game Avg,,17,15,0,0,0,0,5,160,0,13,29.3,1406,,,,
