Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Patrick Surtain II,2024-10-06,DEN,,LVR,"W, 34-18",2,1,2,100,1,2,0.0,0
Dexter Lawrence,2024-10-06,NYG,@,SEA,"W, 29-20",2,2,0,0,0,0,3.0,0
Travon Walker,2024-10-06,JAX,,IND,"W, 37-34",4,1,0,0,0,1,3.0,1
Frankie Luvu,2024-10-06,WAS,,CLE,"W, 34-13",4,3,0,0,0,0,2.5,0
Logan Hall,2024-10-03,TAM,@,ATL,"L, 30-36",2,0,0,0,0,0,2.0,0
