Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Field Position,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Own 1-10,922,10.69,5.91,459,2234,4.9,1,56,281,448,62.7,3277,7.3,3,11,13,115,76.8,6.2,All 2024 plays in Own 1-10
Own 1-20,3035,10.22,6.15,1351,6381,4.7,2,219,1064,1589,67,12863,8.1,10,37,93,508,84.0,6.8,All 2024 plays in Own 1-20
Own 21-50,15200,8.82,6.01,6160,30139,4.9,18,1463,5623,8377,67.1,65632,7.8,51,181,663,2930,83.7,6.5,All 2024 plays in Own 21-50
Opp 49-20,10661,8.58,5.55,4697,21916,4.7,53,1245,3647,5567,65.5,39902,7.2,182,121,397,1876,88.4,6.4,All 2024 plays in Opp 49-20
Red Zone,4915,6.35,2.92,2476,6737,2.7,438,755,1295,2278,56.8,8627,3.8,566,48,161,790,96.0,7.3,All 2024 plays in Red Zone
Opp 1-10,2521,4.52,1.81,1344,2477,1.8,395,486,566,1091,51.9,2584,2.4,399,24,86,420,88.2,8.1,All 2024 plays in Opp 1-10
