Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Pass Coverage,Pass Rush,Tackles,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
2024,24,LAR,NFL,OLB,17,16,0,5,5,100.0,21,4.2,4.2,1,123.7,1.2,6,15,48,15,13,2,4.5,33,66,17,20.5,"PB,AP DRoY-1"
1 Yr,,17,16,0,5,5,100.0,21,4.2,4.2,1,123.7,1.2,6,15,48,15,13,2,4.5,33,66,17,20.5,,,,
17 Game Avg,,17,16,0,5,5,100.0,21,4.2,4.2,1,123.7,1.2,6,15,48,15,13,2,4.5,33,66,17,20.5,,,,
