Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2022,23,SFO,NFL,QB,9,5,124,121,127,123,111,140,99,103,128,AP ORoY-3
2023,24,SFO,NFL,QB,16,16,157,152,149,146,124,137,96,107,142,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6"
2024,25,SFO,NFL,QB,15,15,129,128,118,119,104,101,93,104,108,
3 Yrs,,40,36,140,137,132,131,113,122,95,105,125,,,,
