Year,Lg,First Overall Pick,Pos,Tm,College
1951,NFL,Kyle Rote,E,New York Giants,SMU
1950,NFL,Leon Hart,E,Detroit Lions,Notre Dame
1949,NFL,Chuck Bednarik,LB,Philadelphia Eagles,Pennsylvania
1948,NFL,Harry Gilmer,QB,Washington Redskins,Alabama
1947,NFL,Bob Fenimore,HB,Chicago Bears,Oklahoma St.
1946,NFL,Boley Dancewicz,QB,Boston Yanks,Notre Dame
1945,NFL,Charley Trippi,HB,Chicago Cardinals,Georgia
1944,NFL,Angelo Bertelli,QB,Boston Yanks,Notre Dame
1943,NFL,Frankie Sinkwich,B,Detroit Lions,Georgia
1942,NFL,Bill Dudley,HB,Pittsburgh Steelers,Virginia
1941,NFL,Tom Harmon,HB,Chicago Bears,Michigan
1940,NFL,George Cafego,FB,Chicago Cardinals,Tennessee
1939,NFL,Ki Aldrich,C,Chicago Cardinals,TCU
1938,NFL,Corby Davis,BB,Cleveland Rams,Indiana
1937,NFL,Sam Francis,FB,Philadelphia Eagles,Nebraska
1936,NFL,Jay Berwanger,B,Philadelphia Eagles,Chicago
